locationId,dateTime,indicatorId,value
3773,2014-12-21T11:57:00,gamma,151
3773,2014-12-15T06:17:00,gamma,151
3773,2014-12-29T03:28:00,gamma,151
3773,2014-12-22T06:12:00,gamma,151
3773,2014-12-29T17:40:00,gamma,151
3773,2014-12-24T11:57:00,gamma,151
3773,2014-12-30T03:48:00,gamma,151
3773,2014-12-25T16:00:00,gamma,151
3773,2014-12-30T23:04:00,gamma,151
3773,2014-12-31T12:17:00,gamma,151
3773,2014-12-11T18:30:18,gamma,154
3773,2014-12-12T22:00:12,gamma,154
3773,2014-12-15T09:27:00,gamma,154
3773,2014-12-12T22:40:12,gamma,154
3773,2014-12-15T14:31:00,gamma,154
3773,2014-12-13T00:58:00,gamma,154
3773,2014-12-17T07:34:00,gamma,154
3773,2014-12-13T03:42:00,gamma,154
3773,2014-12-23T13:39:00,gamma,154
3773,2014-12-18T04:52:00,gamma,154
3773,2014-12-13T06:45:00,gamma,154
3773,2014-12-23T19:42:00,gamma,154
3773,2014-12-19T05:12:00,gamma,154
3773,2014-12-13T19:56:00,gamma,154
3773,2014-12-24T07:53:00,gamma,154
3773,2014-12-19T23:27:00,gamma,154
3773,2014-12-13T23:59:00,gamma,154
3773,2014-12-29T14:39:00,gamma,154
3773,2014-12-24T13:58:00,gamma,154
3773,2014-12-20T16:42:00,gamma,154
3773,2014-12-14T21:17:00,gamma,154
3773,2014-12-30T01:39:00,gamma,154
3773,2014-12-24T16:00:00,gamma,154
3773,2014-12-22T04:10:00,gamma,154
3773,2014-12-30T02:48:00,gamma,154
3773,2014-12-26T01:00:00,gamma,154
3773,2014-12-22T08:14:00,gamma,154
3773,2014-12-30T11:42:00,gamma,154
3773,2014-12-26T08:33:00,gamma,154
3773,2014-12-22T19:24:00,gamma,154
3773,2014-12-30T20:02:00,gamma,154
3773,2014-12-26T15:39:00,gamma,154
3773,2014-12-30T22:04:00,gamma,154
3773,2014-12-27T03:48:00,gamma,154
3773,2014-12-31T13:18:00,gamma,154
3773,2014-12-28T23:25:00,gamma,154
3773,2014-12-30T02:01:00,gamma,155
3773,2014-12-30T18:00:00,gamma,155
3773,2014-12-31T03:10:00,gamma,155
3773,2014-12-12T16:00:12,gamma,155
3773,2014-12-12T19:00:11,gamma,155
3773,2014-12-15T10:27:00,gamma,155
3773,2014-12-22T19:58:00,gamma,155
3773,2014-12-16T09:47:00,gamma,155
3773,2014-12-23T02:29:00,gamma,155
3773,2014-12-17T03:31:00,gamma,155
3773,2014-12-24T09:55:00,gamma,155
3773,2014-12-17T21:47:00,gamma,155
3773,2014-12-12T02:30:13,gamma,155
3773,2014-12-26T07:44:00,gamma,155
3773,2014-12-17T23:48:00,gamma,155
3773,2014-12-12T07:00:11,gamma,155
3773,2014-12-27T02:48:00,gamma,155
3773,2014-12-18T09:01:00,gamma,155
3773,2014-12-28T00:06:00,gamma,155
3773,2014-12-18T10:57:00,gamma,155
3773,2014-12-28T05:10:00,gamma,155
3773,2014-12-18T12:58:00,gamma,155
3773,2014-12-29T13:36:00,gamma,155
3773,2014-12-29T20:42:00,gamma,155
3773,2014-12-29T23:45:00,gamma,155
3773,2014-12-12T20:10:16,gamma,156
3773,2014-12-13T17:55:00,gamma,156
3773,2014-12-23T17:42:00,gamma,156
3773,2014-12-14T23:18:00,gamma,156
3773,2014-12-24T02:49:00,gamma,156
3773,2014-12-15T01:19:00,gamma,156
3773,2014-12-26T04:30:00,gamma,156
